weekday,task
Monday,Sweep stairs
Monday,Mop stains
Monday,Remove webs
Monday,Wipe railings top and bottom
Monday,"Windows, doors, windowsill wiped"
Tuesday,Vacuum day room
Tuesday,Wipe windows and windowsill
Tuesday,Wipe the furniture
Tuesday,Remove bugs
Wednesday,Sweep hallways
Wednesday,Mop hallways
Wednesday,Wipe baseboards
Wednesday,Remove any debris
Thursday,Sweep stairs
Thursday,Wipe railings
Thursday,Wipe down entrances
Thursday,Police call outside
Friday,Washer and dryer wiped and clear of dust
Friday,Laundry room swept and mopped
Friday,Trash bags replaced
