room,floor
101,Floor 1
102,Floor 1
103,Floor 1
104,Floor 1
105,Floor 1
106,Floor 1
107,Floor 1
109,Floor 1
110,Floor 1
111,Floor 1
112,Floor 1
113,Floor 1
114,Floor 1
115,Floor 1
201,Floor 2
202,Floor 2
203,Floor 2
204,Floor 2
205,Floor 2
206,Floor 2
207,Floor 2
209,Floor 2
210,Floor 2
211,Floor 2
212,Floor 2
213,Floor 2
214,Floor 2
215,Floor 2
301,Floor 3
302,Floor 3
303,Floor 3
304,Floor 3
305,Floor 3
306,Floor 3
307,Floor 3
309,Floor 3
310,Floor 3
311,Floor 3
312,Floor 3
313,Floor 3
314,Floor 3
315,Floor 3
